Broad druggable gene	HGNC ID 	Location 	Count	Broad CTD2 440 compound plates	Status	TARGET_NODES
PI4KB 	HGNC:8984 	1q21 	284	Brd2020;Chembl374350	probe 	NFKB1
PICK1 	HGNC:9394 	22q13.1 	285	Jnj-26854165;Serdemetan	clinical 	MDM2
PIK3CA 	HGNC:8975 	3q26.3 	286	Pyr-41	probe 	UBA1
PIK3CB 	HGNC:8976 	3q22.3 	287	Cal-101	clinical 	PIK3CD
PIK3CD 	HGNC:8977 	1p36.2 	288	Mdivi-1	probe 	DNM1 HDAC1;HDAC2 CXCR2
PIK3CG 	HGNC:8978 	7q22 	289	Brd-K61166597	probe 	
PIM1 	HGNC:8986 	6p21 	290	Sb-225002	probe 	
PLA2G4A 	HGNC:9035 	1q31.1 	291	Cay10594;Compound 72	probe 	PLD2
PLA2G4B 	HGNC:9036 	15q11.2-q21.3 	292	Compound 7D-Cis;Brd9047	probe 	XPO1
PLA2G4C 	HGNC:9037 	19q13.3 	293	Sb-743921	clinical 	KIF11
PLA2G4D 	HGNC:30038 	15q14 	294	Abt-199	clinical 	BCL2
PLAUR 	HGNC:9053 	19q13 	295	Hmn-214	probe 	PLK1
PLD1 	HGNC:9067 	3q26 	296	Tipifarnib-P2	probe 	FNTA
PLD2 	HGNC:9068 	17p13.3 	297	Zstk474	clinical 	PIK3CG
PLK1 	HGNC:9077 	16p 	298	Tipifarnib-P1;Zarnestra	clinical 	FNTA
PLK3 	HGNC:2154 	1p34.1 	299	Brd-K63431240	probe 	
POLA1 	HGNC:9173 	Xp22.1-p21.3 	300	Barasertib;Azd1152-Hqpa	clinical 	AURKB
POLA2 	HGNC:30073 	11q13 	301	Gefitinib;Zd-1839;Iressa	FDA 	AKT1;EGFR
POLE 	HGNC:9177 	12q24.3 	302	Necrosulfonamide	probe 	
PORCN 	HGNC:17652 	Xp11.23 	303	Mi-1	probe 	MEN1;MLL
PPID 	HGNC:9257 	4q31.3 	304	Apicidin	probe 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
PPP2CA 	HGNC:9299 	5q31.1 	305	Atra;All-Trans Retinoic Acid;Tretinoin;Vesanoid	FDA 	RARA;RARB;RARG
PPP3CA 	HGNC:9314 	4q24 	306	Ko-143	probe 	ABCG2
PPP3CB 	HGNC:9315 	10q22.2 	307	Tg100-115	clinical 	PIK3CD;PIK3CG
PPP3CC 	HGNC:9316 	8p21.3 	308	Pha-793887	clinical 	CDK1;CDK2;CDK4;CDK5;CDK7;CDK9
PPP3R1 	HGNC:9317 	2p14 	309	Bi-2536	clinical 	PLK1
PPP3R2 	HGNC:9318 	9q31 	310	Semagacestat;Ly450139	clinical 	NCSTN;PSEN1;PSENEN;APH1A
PRKCB 	HGNC:9395 	16p12 	311	Azd1480	clinical 	JAK1;JAK2
PRKCI 	HGNC:9404 	3q26.3 	312	Afatinib;Bibw2992	clinical 	EGFR;ERBB2
PRKCSH 	HGNC:9411 	19p13.2 	313	Kh-Cb19	probe 	CLK1;CLK4
PRKDC 	HGNC:9413 	8q11 	314	Brd-K66453893	GE- active 	
PRLR 	HGNC:9446 	5p14-p13 	315	Pifithrin	probe 	
PSEN1 	HGNC:9508 	14q24.3 	316	Sb-431542	probe 	TGFBR1
PSENEN 	HGNC:30100 	19q13.12 	317	Ku-0063794	probe 	MTOR
PSMB1 	HGNC:9537 	6q27 	318	Gdc-0879	probe 	BRAF
PSMB2 	HGNC:9539 	1p34.2 	319	Mln-4924	clinical 	NAE1
PSMB5 	HGNC:9542 	14q11.2 	320	Pi-103	probe 	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC
PSMD1 	HGNC:9554 	2q37.1 	321	Mk-2206	clinical 	AKT1;AKT2;AKT3
PSMD2 	HGNC:9559 	3q27.3 	322	Nsc95397	probe 	CDC25A;CDC25B;CDC25C
PTGER3 	HGNC:9595 	1p31.2 	323	Brd8958;C646;Ossk-701387	probe 	EP300
PTGER4 	HGNC:9596 	5p13.1 	324	Alvocidib;Flavopiridol	clinical 	CDK1;CDK2;CDK4;CDK6
PTGS2 	HGNC:9605 	1q25.2-q25.3 	325	Cisplatin;Cddp;Platin	FDA 	
PTK2 	HGNC:9611 	8q24.3 	326	Tacrolimus;Fk-506;Fujimycin;Prograf;Advagraf;Protopic	FDA 	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2
PTP4A3 	HGNC:9636 	8q24.3 	327	Isox;Brd-K69840642	probe 	HDAC6
PVRL4 	HGNC:19688 	1q23.3 	328	Azd8055	clinical 	MTOR
RAC1 	HGNC:9801 	7p22 	329	Ibrutinib;Pci-32765	clinical 	BTK
RAD51 	HGNC:9817 	15q15.1 	330	Erlotinib;Cp-358774;Osi-774;Nsc718781;Tarceva	FDA 	EGFR;ERBB2
RAF1 	HGNC:9829 	3p25 	331	Brd-K70809902	probe 	SCARB1
RAN 	HGNC:9846 	12q24.33 	332	Masitinib;Masivet	clinical 	KIT;PDGFRA;PDGFRB;FGFR3
RARA 	HGNC:9864 	17q21.1 	333	Snx-2112	probe 	HSP90AA1
RARB 	HGNC:9865 	3p24 	334	Ch-55	probe 	RARA;RARB;RARG
RARG 	HGNC:9866 	12q13 	335	N9-Isopropylolomoucine	probe 	CDK1;CDK5
RASA1 	HGNC:9871 	5q13 	336	6630-29-1	probe 	
RET 	HGNC:9967 	10q11.2 	337	Qw-Bi-011;Brd4770	probe 	EHMT2;EZH2
RHOA 	HGNC:667 	3p21.3 	338	Wz4002	probe 	EGFR
RICTOR 	HGNC:28611 	5p13.1 	339	Brd1812	probe 	CREB1;CTNNB1;CREBBP
RIPK1 	HGNC:10019 	6p25.2 	340	Purmorphamine	probe 	SMO
RORA 	HGNC:10258 	15q21-q22 	341	Birb-796;Doramapimod	probe 	MAPK14
RORC 	HGNC:10260 	1q21 	342	Curcumin	clinical 	PPID
ROS1 	HGNC:10261 	6q21-q22 	343	Unc0321	probe 	EHMT2
RPS6KB1 	HGNC:10436 	17q23.1 	344	Nsc632839	probe 	USP5;USP13
RPS6KB2 	HGNC:10437 	11q13.1 	345	Pazopanib;Pazopanib Hydrochloride;Gw786034;Votrient;Armala	FDA 	KDR;FLT1;FLT4;KIT;PDGFRB
RPTOR 	HGNC:30287 	17q25.3 	346	Brd-K75293299	GE- active 	
RRM1 	HGNC:10451 	11p15.5 	347	Alisertib;Mln8237	clinical 	AURKA
RXRA 	HGNC:10477 	9q34 	348	Xl765;Sar245409	clinical 	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG
RXRB 	HGNC:10478 	6p21.3 	349	Ic-87114	probe 	PIK3CD
RXRG 	HGNC:10479 	1q22-q23 	350	Jw74	probe 	CTNNB1;GSK3B;AXIN1;APC;CSKN1A1
S1PR1 	HGNC:3165 	1p21 	351	Omacetaxine Mepesuccinate;Homoharringtonine;Synribo	FDA 	
S1PR3 	HGNC:3167 	9q22.1-q22.2 	352	Ym-155	clinical 	BIRC5
SCARB1 	HGNC:1664 	12q24.32 	353	A-804598	probe 	P2RX7
SHH 	HGNC:10848 	7q36 	354	Ex-527;Sen0014196	clinical 	SIRT1
SIRT1 	HGNC:14929 	10q21 	355	Vandetanib;Zactima;Zd6474;Caprelsa	FDA 	KDR
SIRT2 	HGNC:10886 	19q13 	356	Entinostat	clinical 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
SIRT3 	HGNC:14931 	11p15.5 	357	Ly-2157299	probe 	TGFBR1
SIRT4 	HGNC:14932 	12q24.31 	358	Crizotinib;Pf-2341066;Xalkori	FDA 	ALK;MET
SIRT5 	HGNC:14933 	6p23 	359	Brd-K78574327	GE- active 	
SIRT6 	HGNC:14934 	19p13.3 	360	Manumycin A	probe 	FNTA;FNTB
SIRT7 	HGNC:14935 	17q25.3 	361	Mln2238;Mln9708	clinical 	PSMB5
SKP1 	HGNC:10899 	5q31 	362	Gsk4112	probe 	NR1D1
SLC2A1 	HGNC:11005 	1p34.2 	363	Khs101	probe 	TACC3
SLC34A2 	HGNC:11020 	4p15.2 	364	Pf-573228	probe 	PTK2
SLITRK6 	HGNC:23503 	13q31.1 	365	Decitabine	FDA 	DNMT1
SMO 	HGNC:11119 	7q32.1 	366	Pf-543	probe 	SPHK1
SNAP25 	HGNC:11132 	20p12-p11.2 	367	Ml203;Ncgc00185916-03;Compound 58;Ms-Ctdd-3;Brd2993	probe 	PKM
SP1 	HGNC:11205 	12q13.1 	368	Etimoxir	clinical 	CPT1A
SPHK1 	HGNC:11240 	17q25.2 	369	Vorinostat;Saha;Zolinza	FDA 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
SPTLC1 	HGNC:11277 	9q22.31 	370	Silmitasertib;Cx-4945	clinical 	CSNK2A1;CSNK2A2
SPTLC2 	HGNC:11278 	14q24.3 	371	Tanespymicin;17-Aag	clinical 	HSP90AA1
SPTLC3 	HGNC:16253 	20p12.1 	372	Brd-K81491172	probe 	GSK3B
SRC 	HGNC:11283 	20q12-q13 	373	Nilotinib;Amn107;Tasigna	FDA 	BCR;ABL1;KIT
SSTR1 	HGNC:11330 	14q13 	374	Parthenolide	probe 	
SSTR3 	HGNC:11332 	22q13.1 	375	Wz8040	probe 	EGFR
SSTR5 	HGNC:11334 	16p13.3 	376	Vincristine;Oncovin;Leurocristine	FDA 	TUBB1
STAT3 	HGNC:11364 	17q21 	377	Navitoclax	clinical 	BCL2;BCL2L1;BCL2L2
STAT5B 	HGNC:11367 	17q11.2 	378	Pf-750	probe 	FAAH
STEAP1 	HGNC:11378 	7q21 	379	Cay10618	probe 	NAMPT
STK11 	HGNC:11389 	19p13.3 	380	Pl-Di;Piperlongumine-Dimer	probe 	
STX1A 	HGNC:11433 	7q11.2 	381	Skepinone-L	probe 	MAPK14
SYK 	HGNC:11491 	9q22 	382	Nelarabine	FDA 	POLA1
TACC3 	HGNC:11524 	4p16.3 	383	Cbb-1007	probe 	KDM1A
TASP1 	HGNC:15859 	20p12 	384	Brd-K84807411	GE- active 	
TEK 	HGNC:11724 	9p21 	385	Sirolimus;Rapamycin;Rapamune	FDA 	MTOR
TERT 	HGNC:11730 	5p15.33 	386	Spautin-1	probe 	USP10;USP13
TGFBR1 	HGNC:11772 	9q22 	387	Brd-K85133207	probe 	HDAC1
TGFBR2 	HGNC:11773 	3p22 	388	Neratinib;Hki-272	clinical 	EGFR;ERBB2
TIAM1 	HGNC:11805 	21q22.1 	389	Azd7762	clinical 	CHEK1;CHEK2
TNF 	HGNC:11892 	6p21.3 	390	Brd-K86535717	GE- active 	
TNFRSF4 	HGNC:11918 	1p36 	391	Brd4132	probe 	MYC
TNFRSF8 	HGNC:11923 	1p36 	392	Bafilomycin	probe 	ATP6V0A1
TNFRSF9 	HGNC:11924 	1p36 	393	Unc0638	probe 	EHMT1;EHMT2
TNFSF13B 	HGNC:11929 	13q32-q34 	394	Cediranib;Azd2171	clinical 	FLT1;KDR;FLT4
TNKS 	HGNC:11941 	8p23.1 	395	Osi-027	clinical 	MTOR;RPTOR;MLST8;RICTOR;MAPKAP1
TOP1 	HGNC:11986 	20q12-q13.1 	396	Veliparib;Abt-888	clinical 	PARP1;PARP2
TOP2A 	HGNC:11989 	17q21.2 	397	L-685458	probe 	NCSTN;PSEN1;PSENEN;APH1A
TOP2B 	HGNC:11990 	3p24.2 	398	Cyt-387	clinical 	JAK1;JAK2
TP53 	HGNC:11998 	17p13.1 	399	Istradefylline;Kw-6002	clinical 	ADORA2A
TRIO 	HGNC:12303 	5p14-p15.1 	400	Fingolimod;Fty720;Gilenya	FDA 	S1PR1
TRPC6 	HGNC:12338 	11q22.1 	401	Bortezomib	FDA 	PSMD1;PSMD2;PSMB1;PSMB2;PSMB5
TRPV4 	HGNC:18083 	12q24.11 	402	Ci-976	probe 	ACAT1
TSPO 	HGNC:1158 	22q13.3 	403	Brd-K88742110	probe 	HDAC8
TTK 	HGNC:12401 	6q14.1 	404	Tandutinib;Mln518;Ct53518	clinical 	FLT3;KIT;PDGFRB
TUBB1 	HGNC:16257 	20q13.32 	405	Brd9876	probe 	WEE1
TXN 	HGNC:12435 	9q31 	406	Rg-108	probe 	DNMT1
TYMS 	HGNC:12441 	18p11.31-p11.21 	407	Ml006;T6748133;Brd2698	probe 	S1PR3
UBA1 	HGNC:12469 	Xp11.23 	408	Trifluoperazine;Stelazine	FDA 	DRD2
UCHL5 	HGNC:19678 	1q32 	409	Gw-843682X	probe 	PLK1;PLK3
UGCG 	HGNC:12524 	9q31 	410	Pitstop2	probe 	CLTA;CLTB;CLTC;CLTCL1
USP10 	HGNC:12608 	16q24.1 	411	Bosutinib;Ski-606;Bosulif	FDA 	SRC;ABL1
USP13 	HGNC:12611 	3q26.2-q26.3 	412	Mi-2	probe 	MEN1;MLL
USP14 	HGNC:12612 	18p11.32 	413	O-6-Benzylguanine	clinical 	AGXT
USP5 	HGNC:12628 	12p13 	414	Doxorubicin;Adriamycin;Hydroxydaunorubicin	FDA 	TOP2A
USP7 	HGNC:12630 	16p13.3 	415	Tosedostat;Chr-2797	clinical 	LAP3;NPEPPS;ANPEP
USP9X 	HGNC:12632 	Xp11.4 	416	Gsk461364	clinical 	PLK1
V AMP1 	HGNC:12642 	12p 	417	Bexarotene;Targretin	FDA 	RXRA;RXRB;RXRG
VCP 	HGNC:12666 	9p13.3 	418	Imatinib;Sti571;Gleevec	FDA 	BCR;ABL1
VDAC1 	HGNC:12669 	5q31 	419	Brd-K92856060	probe 	
VDAC2 	HGNC:12672 	10q22 	420	Smer-3	probe 	SKP1;CUL1
VDR 	HGNC:12679 	12q13.11 	421	Pac-1	probe 	CASP3
VEGFA 	HGNC:12680 	6p12 	422	Sj-172550	probe 	TP53;MDM2
WEE1 	HGNC:12761 	11p15.4 	423	Raf265;Chir-265	clinical 	BRAF;KDR
WRN 	HGNC:12791 	8p12 	424	Ac55649	probe 	RARB
WT1 	HGNC:12796 	11p13 	425	Brd-K98948170	probe 	
XIAP 	HGNC:592 	Xq25 	426	Vorapaxar;Scha?530348	clinical 	F2R
XPO1 	HGNC:12825 	2p15 	427	Tamoxifen;Nolvadex;Istubal;Valodex	FDA 	ESR1;ESR2
YES1 	HGNC:12841 	18p11.31-p11.21 	428	Quizartinib;Ac220	clinical 	FLT3
			429	Chm-1	probe 	
			430	Vaf-347	probe 	AHR
			431	Brd-K96431673	GE- active 	
			432	Pifithrin-Mu;Nsc303580	probe 	TP53;HSPA1A;HSPA1B;HSPA1L
			433	Brd-K96970199	GE- active 	
			434	Gsk-J4	probe 	KDM6A;KDM6B
			435	16-Beta-Bromoandrosterone	probe 	PTGER3;PTGER4
			436	Pluripotin	probe 	MAPK3;RASA1
			437	Jw-480	probe 	NCEH1
			438	Linifanib;Abt-869	clinical 	KDR;FLT1;FLT3;CSF1R;PDGFRB
			439	Infinity Compound 1	probe 	BCL2
			440	Oxaliplatin;Eloxatin	FDA 	
